No,originDistrictName,originCityName,originProvince,originPostalCode,originLat,originLong,destDistrictName,destinationCityName,destProvince,destinationPostalCode,destinationLat,destinationLong
7074,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Ilaga Utara,Puncak,Papua,98966,0,0
7075,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Mabugi,Puncak,Papua,98967,0,0
7076,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Omukia,Puncak,Papua,98968,0,0
7077,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Oneri,Puncak,Papua,98975,0,0
7078,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Bagun,Sorong,Papua Barat,98453,0,0
7079,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Buk,Sorong,Papua Barat,98453,0,0
7080,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Malabotom,Sorong,Papua Barat,98456,0,0
7081,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Konhir,Sorong,Papua Barat,98453,0,0
7082,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Klasafet,Sorong,Papua Barat,98442,0,0
7083,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Hobard,Sorong,Papua Barat,98453,0,0
7084,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Salawati Tengah,Sorong,Papua Barat,98452,0,0
7085,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Botain,Sorong,Papua Barat,98433,0,0
7086,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Pariwari,Fakfak,Papua Barat,98611,0,0
7087,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Fakfak Timur Tengah,Fakfak,Papua Barat,98662,0,0
7088,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Arguni,Fakfak,Papua Barat,98652,0,0
7089,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Mbahamdandara,Fakfak,Papua Barat,98652,0,0
7090,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Kayauni,Fakfak,Papua Barat,98652,0,0
7091,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Tomage,Fakfak,Papua Barat,98662,0,0
7092,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Salkma,Sorong Selatan,Papua Barat,98456,0,0
7093,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Kais Darat,Sorong Selatan,Papua Barat,98226,0,0
7094,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Bikar,Tambrauw,Papua Barat,98473,0,0
7095,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Ases,Tambrauw,Papua Barat,98473,0,0
7096,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Ireres,Tambrauw,Papua Barat,98473,0,0
7097,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Tobouw,Tambrauw,Papua Barat,98473,0,0
7098,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Wilhem Roumbouts,Tambrauw,Papua Barat,98473,0,0
7099,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Tinggouw,Tambrauw,Papua Barat,98473,0,0
7100,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Kwesefo,Tambrauw,Papua Barat,98473,0,0
7101,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Mawabuan,Tambrauw,Papua Barat,98372,0,0
7102,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Kebar Timur,Tambrauw,Papua Barat,98372,0,0
7103,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Kebar Selatan,Tambrauw,Papua Barat,98372,0,0
7104,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Manekar,Tambrauw,Papua Barat,98372,0,0
7105,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Mpur,Tambrauw,Papua Barat,98371,0,0
7106,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Amberbaken Barat,Tambrauw,Papua Barat,98371,0,0
7107,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Kasi,Tambrauw,Papua Barat,98371,0,0
7108,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Selemkai,Tambrauw,Papua Barat,98472,0,0
7109,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Soreang,Parepare,Sulawesi Selatan,91131,0,0
7110,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Cibalong,"Tasikmalaya, Kab.",Jawa Barat,46185,0,0
7111,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Dukun,"Magelang, Kab.",Jawa Tengah,56482,0,0
7112,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Glagah,Banyuwangi,Jawa Timur,68432,0,0
7113,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Sayosa Timur,Sorong,Papua Barat,98471,0,0
7114,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Wemak,Sorong,Papua Barat,98455,0,0
7115,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Arso Barat,Keerom,Papua,99468,0,0
7116,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Gandusari,Trenggalek,Jawa Timur,66372,0,0
7117,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Ciomas,"Serang, Kab.",Banten,42164,0,0
7118,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Alam Barajo,Jambi,Jambi,36129,0,0
7119,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Danau Sipin,Jambi,Jambi,36121,0,0
7120,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Kroya,Indramayu,Jawa Barat,45265,0,0
7121,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Molanikime,Puncak Jaya,Papua,98918,0,0
7122,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Lumo,Puncak Jaya,Papua,98918,0,0
7123,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Muara,Puncak Jaya,Papua,98911,0,0
7124,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Mage'abume,Puncak,Papua,98974,0,0
7125,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Yambi,Puncak Jaya,Papua,98911,0,0
7126,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Pagaleme,Puncak Jaya,Papua,98911,0,0
7127,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Irimuli,Puncak Jaya,Papua,98911,0,0
7128,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Alama,Mimika,Papua,99966,0,0
7129,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Wonggeduku Barat,Konawe,Sulawesi Tenggara,93463,0,0
7130,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Andoolo Barat,Konawe Selatan,Sulawesi Tenggara,93819,0,0
7131,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Pulau Tiga Barat,Natuna,Kepulauan Riau,29783,0,0
7132,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Cintapuri Darussalam,Banjar,Kalimantan Selatan,70676,0,0
7133,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Teluk Pandan,Pesawaran,Lampung,35450,0,0
7134,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Tamansari,Boyolali,Jawa Tengah,57331,0,0
7135,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Ujung Batu,Rokan Hulu,Riau,28554,0,0
7136,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Ulu Idanotae,Nias Selatan,Sumatera Utara,22877,0,0
7137,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Bunguran Batubi,Natuna,Kepulauan Riau,29782,0,0
7138,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Panang Enim,Muara Enim,Sumatera Selatan,31354,0,0
7139,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Jirak Jaya,Musi Banyuasin,Sumatera Selatan,30751,0,0
7140,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Krayan Tengah,Nunukan,Kalimantan Utara,77456,0,0
7141,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Kepulauan Tanakeke,Takalar,Sulawesi Selatan,92232,0,0
7142,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Iwoimenda,Kolaka,Sulawesi Tenggara,93552,0,0
7143,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Lasolo Kepulauan,Konawe Utara,Sulawesi Tenggara,93352,0,0
7144,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Landawe,Konawe Utara,Sulawesi Tenggara,93353,0,0
7145,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Ueesi,Kolaka Timur,Sulawesi Tenggara,93575,0,0
7146,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Sidoan,Parigi Moutong,Sulawesi Tengah,94475,0,0
7147,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Talatako,Tojo Una-una,Sulawesi Tengah,94692,0,0
7148,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Ternate Barat,Ternate,Maluku Utara,97747,0,0
7149,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Klaurung,"Sorong, Kota",Papua Barat,98417,0,0
7150,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Balingga Barat,Lanny Jaya,Papua,99584,0,0
7151,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Bandar Laksamana,Bengkalis,Riau,28761,0,0
7152,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Bakung Serumpun,Lingga,Kepulauan Riau,29873,0,0
7153,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Katang Bidare,Lingga,Kepulauan Riau,29873,0,0
7154,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Temiang Pesisir,Lingga,Kepulauan Riau,29873,0,0
7155,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Balai Jaya,Rokan Hilir,Riau,28992,0,0
7156,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Bagan Sinembah Raya,Rokan Hilir,Riau,28992,0,0
7157,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Miyah Selatan,Tambrauw,Papua Barat,98473,0,0
7158,Tallo,Makassar,Sulawesi Selatan,90211,0,0,BULANG TENGAH SUKU ULU,Musi Rawas,Sumatera Selatan,31652,0,0
7159,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Bamusbama,Tambrauw,Papua Barat,98474,0,0
7160,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Manggalewa,Dompu,Nusa Tenggara Barat,84253,0,0
7161,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Maladum Mes,"Sorong, Kota",Papua Barat,98411,0,0
7162,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Malaimsimsa,"Sorong, Kota",Papua Barat,98419,0,0
7163,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Furwagi,Fakfak,Papua Barat,98661,0,0
7164,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Wartutin,Fakfak,Papua Barat,98661,0,0
7165,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Aere,Kolaka Timur,Sulawesi Tenggara,93573,0,0
7166,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Nikogwe,Lanny Jaya,Papua,99567,0,0
7167,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Wiringgambut,Lanny Jaya,Papua,99567,0,0
7168,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Yiluk,Lanny Jaya,Papua,99556,0,0
7169,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Demba,Waropen,Papua,98263,0,0
7170,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Tomosiga,Intan Jaya,Papua,98783,0,0
7171,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Ugimba,Intan Jaya,Papua,98769,0,0
7172,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Awina,Lanny Jaya,Papua,99567,0,0
7173,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Ayumnati,Lanny Jaya,Papua,99567,0,0
7174,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Bruwa,Lanny Jaya,Papua,99563,0,0
7175,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Buguk Gona,Lanny Jaya,Papua,99567,0,0
7176,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Goa Balim,Lanny Jaya,Papua,99563,0,0
7177,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Gollo,Lanny Jaya,Papua,99567,0,0
7178,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Guna,Lanny Jaya,Papua,99556,0,0
7179,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Karu,Lanny Jaya,Papua,99556,0,0
7180,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Kelulome,Lanny Jaya,Papua,99567,0,0
7181,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Kolawa,Lanny Jaya,Papua,99555,0,0
7182,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Kuly Lanny,Lanny Jaya,Papua,99555,0,0
7183,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Lannyna,Lanny Jaya,Papua,99567,0,0
7184,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Amar,Mimika,Papua,99973,0,0
7185,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Iwaka,Mimika,Papua,99968,0,0
7186,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Sosa Timur,Padang Lawas,Sumatera Utara,22742,0,0
7187,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Luahagundrehe Manimolo,Nias Selatan,Sumatera Utara,22868,0,0
7188,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Labuhan Ratu,Bandar Lampung,Lampung,35149,0,0
7189,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Way Ratai,Pesawaran,Lampung,35455,0,0
7190,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Paal Merah,Jambi,Jambi,36139,0,0
7191,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Curug,"Tangerang, Kab.",Banten,15810,0,0
7192,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Marga Sakti Sebelat,Bengkulu Utara,Bengkulu,38326,0,0
7193,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Lubai Ulu,Muara Enim,Sumatera Selatan,31174,0,0
7194,Tallo,Makassar,Sulawesi Selatan,90211,0,0,Kranggan,"Mojokerto, Kota",Jawa Timur,61311,0,0